＼,"[132, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
２,"[86, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
　,"[141, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
「,"[163, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
私,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
の,"[1536, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
大切,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
に,"[416, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
し,"[63, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
たい,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
は,"[426, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
／,"[163, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
その,"[13, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
国,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
大き,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
さ,"[38, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
で,"[94, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
も,"[116, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
繁栄,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ない,"[17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
はごく,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
小さく,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
て,"[52, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
いい,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
すこし,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
武器,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
らしい,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
もの,"[50, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
を,"[405, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
持つ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
が,"[228, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
誰,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
（,"[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
だれ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
）,"[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
使お,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
う,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
と,"[141, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
しない,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
」,"[163, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
▲,"[50, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
あれあれ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
、,"[657, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
これから,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
