id,created_at,text,fav,RT
1455075198667943940,2021-11-01 07:32:16+00:00,RT @pokalope: Terrifying. #halloween2021 https://t.co/aHdXS9T0A4,0,2337
1453810195793002496,2021-10-28 19:45:35+00:00,I guess the phrase “that's so meta” is dead,21,2
1451445218801111040,2021-10-22 07:08:01+00:00,RT @internetofshit: All you have to do to get this Very Trustworthy Coin is give us a high resolution scan of your retinas for the world’s…,0,588
1450722982419042309,2021-10-20 07:18:06+00:00,RT @pedrojdoc: This shot from the Soviet war film “The Cranes are Flying” is incredible camerawork for 1957. https://t.co/QIa4eUmRsp,0,12785
1450370671800770564,2021-10-19 07:58:09+00:00,"RT @nikitabier: If you grew up on the East Coast and were deprived of In N Out your entire life—and therefore have a smaller brain, I want…",0,12
1447824159367581697,2021-10-12 07:19:13+00:00,RT @Pinboard: I'm thinking of taking up intermittent feasting. I heard it can really improve your sleep.,0,3
1447463892813156352,2021-10-11 07:27:39+00:00,RT @aeneas_nin: [*Profuse sweating*] https://t.co/E9HCaNnzua,0,14080
1445298064105766914,2021-10-05 08:01:25+00:00,"RT @Johnny_suputama: Shin-Chitose is my favorite airport in all Japan. It has an ramen alleyway with noodles from all over, endless souveni…",0,25
1445147639784247296,2021-10-04 22:03:41+00:00,RT @GavinDYoung: People making jokes about the Facebook services going down make me sick. Anyone who was using an Oculus headset at the tim…,0,60278
1444924789701836806,2021-10-04 07:18:09+00:00,"RT @museumofcomm: It has to do with a concept called ""choke exchanges"". When a radio station has a contest like ""The 10th caller gets a n…",0,17
1443831660869414915,2021-10-01 06:54:27+00:00,RT @Pinboard: A great leap forward in American political theory tonight as Democrats discover a way to paralyze Congress with just one party,0,12
1442385151644758018,2021-09-27 07:06:33+00:00,"RT @Pinboard: The US military is a socialist mini-state parasitizing the American economy, obeying its own obscure bureaucratic laws and no…",0,52
1441305396170223616,2021-09-24 07:35:59+00:00,RT @davepell: Every political issue at the edges and every small difference that divides us must be set aside for the fight to save our dem…,0,14
1440512374994206720,2021-09-22 03:04:48+00:00,RT @juda1313: This might be the best Freddy costume of all time. https://t.co/WPvAnHSCTC,0,26511
1438042390980280322,2021-09-15 07:29:58+00:00,"RT @Atepsflame: @RiverRaccoon The real political correctness in America, the one that is swiftly and viciously enforced and always has been…",0,7
1438006768999665664,2021-09-15 05:08:25+00:00,This thread is 🔥😂 https://t.co/7n6WkNVjy0,5,1
1435857067621826562,2021-09-09 06:46:16+00:00,RT @Pinboard: The two things I look for in a currency: novelty and incredibly rapid changes in value.,0,122
1433550571999428609,2021-09-02 22:01:05+00:00,RT @davepell: Handmaid’s Tale is now eligible to win best documentary.,0,12
1431045177968312320,2021-08-27 00:05:32+00:00,RT @jperras: @RebeccaSlatkin Always relevant: https://t.co/DXNXaiJtzc,0,10
1426810248438816769,2021-08-15 07:37:26+00:00,"Demolition Man vibes, anyone? https://t.co/cqM6FPZF1v",11,2
1426439742866919424,2021-08-14 07:05:11+00:00,RT @Sci_Phile: Even a man *literally living under a rock* got his shots. Do your part. https://t.co/VxPzhiPNvH,0,16357
1426438956854349826,2021-08-14 07:02:03+00:00,"RT @Pinboard: What it comes down to is that the most powerful country on earth, after a 20 year occupation, is simply too afraid of Afghans…",0,55
1423152820669276168,2021-08-05 05:24:08+00:00,RT @Pinboard: I dream of an America where jack-booted thugs in festive ethnic attire kick down flimsy American doors in search of illegal W…,0,6
